Categoria,Prueba,Marca,Año,Competencia,Nombre Atleta,
Adulto Masculino,800m,1.48.36,2019,Sudamericano Adulto,Alejandro Peirano,
Adulto Masculino,800m,1.57.97,2019,Sudamericano Adulto,Rafael Muñoz,
Adulto Femenino,800m,2.10.48,2019,Sudamericano Adulto,Berdine Castillo,
Adulto Masculino,Lanzamiento Jabalina,75.97,2019,Sudamericano Adulto,Francisco Muse,
Adulto Femenino,Lanzamiento Jabalina,49.16,2019,Sudamericano Adulto,María Paz Ríos,
Adulto Masculino,Lanzamiento Bala,15.68,2019,Sudamericano Adulto,Rodrigo Cárdenas,
Adulto Femenino,Lanzamiento Bala,16.77,2019,Sudamericano Adulto,Ivanna Gallardo,
Adulto Masculino,Lanzamiento Disco,54.31,2019,Sudamericano Adulto,Claudio Romero,
Adulto Femenino,Lanzamiento Disco,55.09,2019,Sudamericano Adulto,Karen Gallardo,
Adulto Masculino,Lanzamiento Martillo,75.27,2019,Sudamericano Adulto,Gabriel Kehr,
Adulto Masculino,Lanzamiento Martillo,73,2019,Sudamericano Adulto,Humberto Mansilla,
Adulto Femenino,Lanzamiento Martillo,63.27,2019,Sudamericano Adulto,Mariana García,
Adulto Masculino,Salto Largo,7.29,2019,Sudamericano Adulto,Daniel Pineda,
Adulto Femenino,Salto Largo,6.36,2019,Sudamericano Adulto,Macarena Reyes,
Adulto Femenino,800m,2.09.44,2021,Sudamericano Adulto,Berdine Castillo,
Adulto Femenino,800m,2.13.92,2021,Sudamericano Adulto,Josefa Quezada,
Adulto Masculino,Lanzamiento Jabalina,70.53,2021,Sudamericano Adulto,Francisco Muse,
Adulto Femenino,Lanzamiento Jabalina,49.78,2021,Sudamericano Adulto,María Paz Ríos,
Adulto Masculino,Lanzamiento Bala,18.1,2021,Sudamericano Adulto,José Miguel Ballivian,
Adulto Femenino,Lanzamiento Bala,16.94,2021,Sudamericano Adulto,Ivanna Gallardo,
Adulto Masculino,Lanzamiento Disco,63.18,2021,Sudamericano Adulto,Lucas Nervi,
Adulto Femenino,Lanzamiento Disco,59.72,2021,Sudamericano Adulto,Karen Gallardo,
Adulto Masculino,Lanzamiento Martillo,75.83,2021,Sudamericano Adulto,Humberto Mansilla,
Adulto Masculino,Lanzamiento Martillo,75.18,2021,Sudamericano Adulto,Gabriel Kehr,
Adulto Femenino,Lanzamiento Martillo,63.2,2021,Sudamericano Adulto,Mariana García,
Adulto Masculino,Salto Largo,7.62,2021,Sudamericano Adulto,Daniel Pineda,
Adulto Femenino,Salto Largo,6.28,2021,Sudamericano Adulto,Macarena Reyes,
Adulto Femenino,Salto Largo,6.06,2021,Sudamericano Adulto,Trinidad Hurtado,
Adulto Femenino,Salto Alto,1.71,2021,Sudamericano Adulto,Catalina Ossa,
Adulto Masculino,Salto Garrocha,5,2021,Sudamericano Adulto,Guillermo Correa,
Adulto Femenino,Salto Garrocha,3.7,2021,Sudamericano Adulto,Antonia Crestani,
Adulto Femenino,800m,2.04.16,2023,Sudamericano Adulto,Berdine Castillo,
Adulto Masculino,800m,1.47.27,2023,Sudamericano Adulto,Rafael Muñoz,
Adulto Masculino,800m,1.49.01,2023,Sudamericano Adulto,Fernando Arévalo,
Adulto Femenino,Salto Largo,6.07,2023,Sudamericano Adulto,Rocío Muñoz,
Adulto Masculino,Salto Largo,7.62,2023,Sudamericano Adulto,Vicente Belgeri,
Adulto Masculino,Lanzamiento Bala,17.65,2023,Sudamericano Adulto,Matías Puschel,
Adulto Masculino,Lanzamiento Bala,17.28,2023,Sudamericano Adulto,José Joaquín Ballivian,
Adulto Femenino,Lanzamiento Bala,17.39,2023,Sudamericano Adulto,Ivanna Gallardo,
Adulto Femenino,Lanzamiento Bala,16.93,2023,Sudamericano Adulto,Natalia Ducó,
Adulto Masculino,Lanzamiento Martillo,75.92,2023,Sudamericano Adulto,Humberto Mansilla,
Adulto Masculino,Lanzamiento Martillo,75.57,2023,Sudamericano Adulto,Gabriel Kehr,
Adulto Femenino,Lanzamiento Martillo,61.44,2023,Sudamericano Adulto,Mariana García,
Adulto Femenino,Salto Garrocha,3.4,2023,Sudamericano Adulto,Antonia Crestani,
Adulto Masculino,Salto Garrocha,5.2,2023,Sudamericano Adulto,Guillermo Correa,
Adulto Femenino,Lanzamiento Disco,59.92,2023,Sudamericano Adulto,Karen Gallardo,
Adulto Masculino,Lanzamiento Disco,63.24,2023,Sudamericano Adulto,Claudio Romero,
Adulto Masculino,Lanzamiento Disco,59.64,2023,Sudamericano Adulto,Lucas Nervi,
Adulto Masculino,Salto Alto,2.05,2023,Sudamericano Adulto,Pedro Álamos,
Adulto Femenino,Lanzamiento Jabalina,52.65,2023,Sudamericano Adulto,María Paz Ríos,
Juvenil Femenino,800m,2.18.81,2022,Sudamericano Escolar,Karla Pulgar,
Juvenil Masculino,800m,1.52.64,2022,Sudamericano Escolar,Klaus Scholz,
Juvenil Masculino,800m,1.57.76,2022,Sudamericano Escolar,Lucas Jara,
Juvenil Femenino,Salto Largo,5.49,2022,Sudamericano Escolar,María Magdalena Vial,
Juvenil Masculino,Salto Alto,1.9,2022,Sudamericano Escolar,Cristóbal Sahurie,
Juvenil Femenino,Salto Alto,1.65,2022,Sudamericano Escolar,María Amalia Baboun,
Juvenil Femenino,Salto Alto,1.6,2022,Sudamericano Escolar,Catalina Rozas,
Juvenil Masculino,Salto Garrocha,4.4,2022,Sudamericano Escolar,Leonardo Olate,
Juvenil Femenino,Salto Garrocha,3.4,2022,Sudamericano Escolar,Asunción Dreyfus,
Juvenil Femenino,Salto Garrocha,3.15,2022,Sudamericano Escolar,María Magdalena Vial,
Juvenil Masculino,Lanzamiento Martillo,69.07,2022,Sudamericano Escolar,Cipriano Riquelme,
Juvenil Masculino,Lanzamiento Disco,57.64,2022,Sudamericano Escolar,Alan Fell,
Juvenil Masculino,Lanzamiento Bala,15.28,2022,Sudamericano Escolar,Alan Fell,
Juvenil Masculino,Lanzamiento Jabalina,66.25,2022,Sudamericano Escolar,Pablo Frutos,
Juvenil Femenino,Lanzamiento Jabalina,38.53,2022,Sudamericano Escolar,Nimsy Martínez,
Juvenil Masculino,800m,1.58.87,2024,Sudamericano Escolar,Dante Carvajal,
Juvenil Femenino,800m,2.17.19,2024,Sudamericano Escolar,Fernanda Pavez,
Juvenil Masculino,Salto Largo,6.77,2024,Sudamericano Escolar,Jia Chen Liu Shi,
Juvenil Masculino,Salto Largo,6.53,2024,Sudamericano Escolar,Benjamín Ruíz,
Juvenil Femenino,Salto Largo,5.67,2024,Sudamericano Escolar,María Gracia Mozo,
Juvenil Femenino,Salto Largo,5.45,2024,Sudamericano Escolar,Jacinta Philipps,
Juvenil Masculino,Salto Alto,2.01,2024,Sudamericano Escolar,Domingo Lorenzini,
Juvenil Masculino,Salto Alto,1.85,2024,Sudamericano Escolar,Simón Montalva,
Juvenil Femenino,Salto Alto,1.6,2024,Sudamericano Escolar,María Gracia Montes,
Juvenil Femenino,Salto Alto,1.55,2024,Sudamericano Escolar,Camila Méndez,
Juvenil Femenino,Lanzamiento Disco,36.22,2024,Sudamericano Escolar,María Ellsworth,
Juvenil Femenino,Lanzamiento Disco,29.12,2024,Sudamericano Escolar,Elisa Barros,
Juvenil Masculino,Lanzamiento Disco,46.44,2024,Sudamericano Escolar,Salvador East,
Juvenil Masculino,Lanzamiento Martillo,68.13,2024,Sudamericano Escolar,Nicolás Vergara,
Juvenil Masculino,Lanzamiento Martillo,55.42,2024,Sudamericano Escolar,Jahaziel Belmar,
Juvenil Femenino,Lanzamiento Martillo,48.82,2024,Sudamericano Escolar,María Paz Bakovic,
Juvenil Femenino,Lanzamiento Martillo,47.22,2024,Sudamericano Escolar,Charlott Pérez,
Juvenil Masculino,Salto Garrocha,4.8,2024,Sudamericano Escolar,Leonardo Olate,
Juvenil Masculino,Salto Garrocha,4,2024,Sudamericano Escolar,José Tomás Bravo,
Juvenil Femenino,Salto Garrocha,3.3,2024,Sudamericano Escolar,Valentina Mozo,
Juvenil Femenino,Salto Garrocha,3.2,2024,Sudamericano Escolar,Josefa Arellano,
Juvenil Femenino,Lanzamiento Bala,11.95,2024,Sudamericano Escolar,María Ellsworth,
Juvenil Femenino,Lanzamiento Bala,11.77,2024,Sudamericano Escolar,Anastasia Salvador,
Juvenil Masculino,Lanzamiento Bala,16.08,2024,Sudamericano Escolar,Vittorio Gorziglia,
Juvenil Masculino,Lanzamiento Bala,16.05,2024,Sudamericano Escolar,Ricardo Lobos,
Juvenil Masculino,Lanzamiento Jabalina,57.47,2024,Sudamericano Escolar,Lautaro Zapico,
Juvenil Masculino,Lanzamiento Jabalina,45.97,2024,Sudamericano Escolar,Matías López,
Juvenil Masculino,800m,1.57.12,2021,Sudamericano Escolar,Klaus Scholz,
Juvenil Masculino,800m,1.58.44,2021,Sudamericano Escolar,Tomás Godoy,
Juvenil Femenino,Salto Largo,5.75,2021,Sudamericano Escolar,Matilde Tejos,
Juvenil Femenino,Salto Largo,5.67,2021,Sudamericano Escolar,Isidora Albornoz,
Juvenil Masculino,Salto Alto,2.04,2021,Sudamericano Escolar,Cristóbal Sahurie,
Juvenil Masculino,Salto Alto,1.85,2021,Sudamericano Escolar,Ignacio Tagle,
Juvenil Femenino,Lanzamiento Disco,43.15,2021,Sudamericano Escolar,Valentina Ulloa,
Juvenil Femenino,Lanzamiento Disco,37,2021,Sudamericano Escolar,Sara Vera,
Juvenil Masculino,Lanzamiento Disco,51.74,2021,Sudamericano Escolar,Felipe de la Maza,
Juvenil Masculino,Lanzamiento Martillo,66.99,2021,Sudamericano Escolar,Cipriano Riquelme,
Juvenil Masculino,Lanzamiento Martillo,66.04,2021,Sudamericano Escolar,Miguel Castro,
Juvenil Femenino,Lanzamiento Martillo,55.3,2021,Sudamericano Escolar,Sara Vera,
Juvenil Masculino,Salto Garrocha,4.2,2021,Sudamericano Escolar,Jerónimo Correa,
Juvenil Femenino,Salto Garrocha,3.6,2021,Sudamericano Escolar,Asunción Dreyfus,
Juvenil Femenino,Salto Garrocha,3.4,2021,Sudamericano Escolar,María Trinidad Matte,
Juvenil Femenino,Lanzamiento Bala,13.29,2021,Sudamericano Escolar,Gracia Gorziglia,
Juvenil Femenino,Lanzamiento Bala,13.12,2021,Sudamericano Escolar,Valentina Ulloa,
Juvenil Masculino,Lanzamiento Bala,16.18,2021,Sudamericano Escolar,Felipe de la Maza,
Juvenil Masculino,Lanzamiento Jabalina,65.52,2021,Sudamericano Escolar,Pablo Frutos,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
